kode_customer;nama_toko;pemilik;no_hp;alamat;kelurahan;kecamatan;kota;provinsi;lat;lng;kategori_toko;omzet_estimasi;salesman_id;status
12872967;Toko Sundari;;;Jl. Tanjung Duren 4, RT.14/RW.5;TANJUNG DUREN SELATAN;GROGOL PETAMBURAN;JAKARTA BARAT;DKI JAKARTA;-6.177271;106.784262;Minimarket;;;Aktif
12914284;TOKO LINDA;;;Jl. Cempaka Raya, RT.10/RW.11;RAWA BUAYA;CENGKARENG;JAKARTA BARAT;DKI JAKARTA;-6.160518;106.744014;Minimarket;;;Aktif
7876978;Alfamart Ruko Imperial;;;Ruko Imperial, Jl. Daan Mogot No.Km. 17, RT.3/RW.5;KALIDERES;KALIDERES;JAKARTA BARAT;DKI JAKARTA;-6.158829;106.696724;Minimarket;;;Aktif
7879419;Alfamart Tegal Alur Baru;;;Jl. Kp. Tegal Alur, RT.11/RW.9;TEGAL ALUR;KALIDERES;JAKARTA BARAT;DKI JAKARTA;-6.104291;106.709924;Minimarket;;;Aktif
12901989;Toko suwardi;;;Jl. Krukut Ps. No.5 1, RT.4/RW.2;KRUKUT;TAMAN SARI;JAKARTA BARAT;DKI JAKARTA;-6.155032;106.814289;Minimarket;;;Aktif
8358253;Indomaret Kota Bambu Utara;;;Jl. Kota Bambu Raya Raya No.42, RT.4/RW.4;KOTA BAMBU SELATAN;PAL MERAH;JAKARTA BARAT;DKI JAKARTA;-6.186347;106.806636;Minimarket;;;Aktif
8364922;Indomaret Tomang;;;Jl. Rawa Kepa Utama No.764 A-B, 3, RT.3/RW.15;TOMANG;GROGOL PETAMBURAN;JAKARTA BARAT;DKI JAKARTA;-6.170392;106.80217;Minimarket;;;Aktif
12905945;Waroeng Avent;;;Jl. H. Maja No.6, RT.6/RW.4;KEDAUNG KALI ANGKE;CENGKARENG;JAKARTA BARAT;DKI JAKARTA;-6.153554;106.749002;Minimarket;;;Aktif
8363835;Alfamart Apartemen Menara Latumenten;;;Menara Latumeten, Jl. Prof. Dr. Latumeten No. 15;JELAMBAR BARU;GROGOL PETAMBURAN;JAKARTA BARAT;DKI JAKARTA;-6.15422;106.792098;Minimarket;;;Aktif
8363765;Alfamart Rich Palace;;;Jl. Kebon Jeruk Indah Utama No.63, RT.8/RW.7;SRENGSENG;KEMBANGAN;JAKARTA BARAT;DKI JAKARTA;-6.199132;106.762316;Minimarket;;;Aktif
8364051;Indomaret Puri Park View tower C;;;Jl. Pesanggrahan No.33 Tower B1, RT.10/RW.5;MERUYA UTARA;KEMBANGAN;JAKARTA BARAT;DKI JAKARTA;-6.192412;106.75636;Minimarket;;;Aktif
7855302;Indomaret Sentra Puri;;;Ruko Sentra Niaga Blok T2 No. 5,, RT.1/RW.2, Kembangan Sel., Jl. Puri Indah Raya, RT.1/RW.2;KEMBANGAN SELATAN;KEMBANGAN;JAKARTA BARAT;DKI JAKARTA;-6.187077;106.735661;Minimarket;;;Aktif
13382246;Alfamart;;;Jl. Kedoya Pesing Kel No.3, RT.2/RW.7;KEDOYA UTARA;KEBON JERUK;JAKARTA BARAT;DKI JAKARTA;-6.166432;106.764329;Minimarket;;;Aktif
8364774;Indomaret Kebon Jeruk 2 (TS95);;;Jl. Raya Kb. Jeruk No.21, RT.1/RW.9;KEBON JERUK;KEBON JERUK;JAKARTA BARAT;DKI JAKARTA;-6.199022;106.782162;Minimarket;;;Aktif
7863767;Indomaret Bojong Raya;;;Jl. Bojong Raya;RAWA BUAYA;CENGKARENG;JAKARTA BARAT;DKI JAKARTA;-6.169463;106.734038;Minimarket;;;Aktif
8363205;Alfamart Raya Mangga Besar;;;Jl. Raya Mangga Besar No. 5;TAMAN SARI;TAMAN SARI;JAKARTA BARAT;DKI JAKARTA;-6.148883;106.825599;Minimarket;;;Aktif
12893062;Toko Bahan Kue Indah Natalia Tanjung Duren;;;Jl. Tanjung Duren Raya No.149A;TANJUNG DUREN SELATAN;GROGOL PETAMBURAN;JAKARTA BARAT;DKI JAKARTA;-6.181457;106.783772;Minimarket;;;Aktif
7869824;Alfamart;;;Jl. Kembangan Raya Rw No.7, RT.3/RW.1;KEMBANGAN UTARA;KEMBANGAN;JAKARTA BARAT;DKI JAKARTA;-6.18453;106.73332;Minimarket;;;Aktif
8363718;Alfamart Daan Mogot Estate;;;Jl. Daan Mogot Estate BL. Ba No. 18;KAPUK;CENGKARENG;JAKARTA BARAT;DKI JAKARTA;-6.151434;106.740399;Minimarket;;;Aktif
8364784;Indomaret Rawa Buaya;;;Jl. Rawa Buaya No. 1;RAWA BUAYA;CENGKARENG;JAKARTA BARAT;DKI JAKARTA;-6.157864;106.730903;Minimarket;;;Aktif
12903266;Toko Matra Mitra Plastik;;;Kembangan Selatan;KEMBANGAN SELATAN;KEMBANGAN;JAKARTA BARAT;DKI JAKARTA;-6.175944;106.748123;Minimarket;;;Aktif
3228284;Prima Fresh Mart Cab Grogol;;;Jl. Dr Susilo i;GROGOL;GROGOL PETAMBURAN;JAKARTA BARAT;DKI JAKARTA;-6.164309;106.793273;Frozen Food;;;Aktif
8855752;Alfa Express Stasiun Duri;;;Duri Utara;DURI UTARA;TAMBORA;JAKARTA BARAT;DKI JAKARTA;-6.155247;106.801459;Minimarket;;;Aktif
8363363;Alfamart;;;Jl. Taman Kota No.33 blok C 7, RT.11/RW.5;KEMBANGAN UTARA;KEMBANGAN;JAKARTA BARAT;DKI JAKARTA;-6.16;106.75359;Minimarket;;;Aktif
12871248;Toko Maria;;;Jl. Veteran I No.43 4, RT.6/RW.6;PEGADUNGAN;KALIDERES;JAKARTA BARAT;DKI JAKARTA;-6.141607;106.704428;Minimarket;;;Aktif
12459230;Toko Sayur & Sembako AMD;;;Gang masjid Nurul Istiqomah, RT.5/RW.8;SEMANAN;KALIDERES;JAKARTA BARAT;DKI JAKARTA;-6.167972;106.704449;Vegetable Store;;;Aktif
12498608;Segala Sayur;;;Komp DPR Jl. H. Juhri No.4, RT.5/RW.4;MERUYA SELATAN;KEMBANGAN;JAKARTA BARAT;DKI JAKARTA;-6.208899;106.733468;Vegetable Store;;;Aktif
8364879;Indomaret Muwardi 1. TC53;;;Jl. Muwardi II No.18 1, RT.4/RW.2;GROGOL;GROGOL PETAMBURAN;JAKARTA BARAT;DKI JAKARTA;-6.164629;106.797034;Minimarket;;;Aktif
347238;212 Mart Kebon Jeruk;;;Jl. Raya Kb. Jeruk No.6 4, RT.4/RW.2;KEBON JERUK;KEBON JERUK;JAKARTA BARAT;DKI JAKARTA;-6.197778;106.7725;Minimarket;;;Aktif
11105930;Prima Freshmart Kebon Jeruk 2;;;Jl. Raya Kb. Jeruk No.26, RT.:009/RW:001/RW.1;KEBON JERUK;KEBON JERUK;JAKARTA BARAT;DKI JAKARTA;-6.198866;106.765496;Frozen Food;;;Aktif
8363903;Alfamart Gang Macan 2 (KD89);;;Alfamart, Gg. Macan No. 2;DURI KEPA;KEBON JERUK;JAKARTA BARAT;DKI JAKARTA;-6.165545;106.770456;Minimarket;;;Aktif
8703686;Idolmart Duri Kosambi;;;Jl. Raya Kresek;DURI KOSAMBI;CENGKARENG;JAKARTA BARAT;DKI JAKARTA;-6.176891;106.710239;Minimarket;;;Aktif
12867069;Toko Agam;;;Jl. Palmerah Barat V No.78 8, RT.8/RW.10;PALMERAH;PAL MERAH;JAKARTA BARAT;DKI JAKARTA;-6.205066;106.785677;Minimarket;;;Aktif
13209808;Toko harapan kita (Pengecer blue gaz);;;Jl. Taman Meruya Ilir No.16 Blok B10;MERUYA UTARA;KEMBANGAN;JAKARTA BARAT;DKI JAKARTA;-6.200414;106.739233;Minimarket;;;Aktif
8364808;Indomaret Sunrise Garden;;;Jl. Surya Utama No.33 No.32, RT.2/RW.5;KEDOYA UTARA;KEBON JERUK;JAKARTA BARAT;DKI JAKARTA;-6.16931;106.764475;Minimarket;;;Aktif
8358196;Indomaret Andong 3;;;5, RT.5/RW.7;KOTA BAMBU SELATAN;PAL MERAH;JAKARTA BARAT;DKI JAKARTA;-6.187443;106.8016;Minimarket;;;Aktif
8364642;Indomaret Menceng 3A-B;;;Jl. Menceng Raya No.1, RT.9/RW.10;TEGAL ALUR;KALIDERES;JAKARTA BARAT;DKI JAKARTA;-6.125925;106.719953;Minimarket;;;Aktif
8363418;Alfamart Krendang Utara 2;;;3, Jl. Krendang Utara No.9A, RT.3/RW.8;KRENDANG;TAMBORA;JAKARTA BARAT;DKI JAKARTA;-6.14821;106.803678;Minimarket;;;Aktif
8855735;Cj Mart Kedaung Kali Angke;;;Kedaung Kali Angke;KEDAUNG KALI ANGKE;CENGKARENG;JAKARTA BARAT;DKI JAKARTA;-6.148137;106.751041;Minimarket;;;Aktif
8856126;Shell Select Kembangan Utara;;;Jl. Lkr. Luar Barat;KEMBANGAN UTARA;KEMBANGAN;JAKARTA BARAT;DKI JAKARTA;-6.17889;106.729145;Minimarket;;;Aktif
8855745;S'MART jayakarta;;;Jl. Pangeran Jayakarta No.45 Blok A 5, RT.1/RW.2;PINANGSIA;TAMAN SARI;JAKARTA BARAT;DKI JAKARTA;-6.138495;106.820877;Minimarket;;;Aktif
12424285;Indomaret;;;Jl. Pahlawan No.41, RT.3/RW.5;SUKABUMI SELATAN;KEBON JERUK;JAKARTA BARAT;DKI JAKARTA;-6.21881;106.76654;Minimarket;;;Aktif
4382805;Best Meat Joglo;;;Jl. Joglo Raya Rt 01 Rw 02;JOGLO;KEMBANGAN;JAKARTA BARAT;DKI JAKARTA;-6.219067;106.729256;Minimarket;;;Aktif
8363695;ALFAMART RUKO ROYAL PALEM;;;Kac, Ruko Royale Palm, Jl. Royale Utama RC-07, RT.11/RW.14;CENGKARENG TIMUR;CENGKARENG;JAKARTA BARAT;DKI JAKARTA;-6.139103;106.73971;Minimarket;;;Aktif
7863766;Indomaret Taman Semanan Raya;;;Jl. Taman Semanan Ruko Blok H 10-11, RT.5/RW.7;DURI KOSAMBI;CENGKARENG;JAKARTA BARAT;DKI JAKARTA;-6.163914;106.722918;Minimarket;;;Aktif
7864047;Indomaret Haji Saaba 2 Fz86;;;Jl. H. Saaba;MERUYA SELATAN;KEMBANGAN;JAKARTA BARAT;DKI JAKARTA;-6.215364;106.727202;Minimarket;;;Aktif
8364045;Indomaret Pesanggrahan;;;Jl. Pesanggrahan Raya No.23, RT.1/RW.3;MERUYA UTARA;KEMBANGAN;JAKARTA BARAT;DKI JAKARTA;-6.194618;106.755535;Minimarket;;;Aktif
12942863;Nadira Cake & Pancake Durian;;;Jl. Ps. Minggu Gg. Chober No.178B, RT.4/RW.1;KEMBANGAN SELATAN;KEMBANGAN;JAKARTA BARAT;DKI JAKARTA;-6.189304;106.725767;Minimarket;;;Aktif
8364862;309A Indomaret Katamso;;;Jl. Brigjen Katamso No.6 4, RT.4/RW.9;KOTA BAMBU SELATAN;PAL MERAH;JAKARTA BARAT;DKI JAKARTA;-6.189204;106.799109;Minimarket;;;Aktif
12886395;UD PASTI JAYA;;;Jl. Stasiun Angke No.5, RT.11/RW.5;JEMBATAN LIMA;TAMBORA;JAKARTA BARAT;DKI JAKARTA;-6.146554;106.801169;Minimarket;;;Aktif
8363942;Indomaret Harun Raya;;;Jl. Harun Raya No.6, RT.6/RW.7;SUKABUMI UTARA;KEBON JERUK;JAKARTA BARAT;DKI JAKARTA;-6.203492;106.776128;Minimarket;;;Aktif
8358286;Indomaret Tanjung Duren;;;Jl. Tanjung Duren Raya No.17 1, RT.1/RW.5;TANJUNG DUREN SELATAN;GROGOL PETAMBURAN;JAKARTA BARAT;DKI JAKARTA;-6.173982;106.785735;Minimarket;;;Aktif
7873768;Alfamart Mercu Seberang Lawson;;;Jl. Meruya Selatan No.5;MERUYA SELATAN;KEMBANGAN;JAKARTA BARAT;DKI JAKARTA;-6.2125;106.737589;Minimarket;;;Aktif
8363328;Alfamart;;;Jl. Raya Pos Pengumben No.Kel 1, RT.1/RW.5;KELAPA DUA;KEBON JERUK;JAKARTA BARAT;DKI JAKARTA;-6.216428;106.770648;Minimarket;;;Aktif
12913859;Toko Abu salsabil;;;Jl. Sulaiman No.2 2, RT.2/RW.3;SUKABUMI UTARA;KEBON JERUK;JAKARTA BARAT;DKI JAKARTA;-6.206179;106.781763;Minimarket;;;Aktif
8363777;Alfamart Anggrek Cakra;;;Jl. Anggrek Cakra;SUKABUMI UTARA;KEBON JERUK;JAKARTA BARAT;DKI JAKARTA;-6.202581;106.777445;Minimarket;;;Aktif
13408044;Prima Mart Citra 2 Extension;;;Blok BE, Jl. Citra Dua Extension Blok G.7 No.30 1 B, RT.2/RW.8;PEGADUNGAN;KALIDERES;JAKARTA BARAT;DKI JAKARTA;-6.133041;106.695182;Frozen Food;;;Aktif
