kode_existing;nama_toko;brand_kompetitor;alamat;lat;lng;sumber_data;catatan
R14042;TOKO GML;TKO;JL H SENIN NO 56;-6.19996;106.7847;Internal;
R14059;TOKO SAFAR;TKO;JL PALMERAH BARAT;-6.205071;106.787;Internal;
R14065;TOKO JAYA;TKO;JL PETA SEMANAN NO 50;-6.203873;106.7845;Internal;
R14069;WARUNG SYBRAL;TKO;JL U RAYA NO 9;-6.202026;106.7844;Internal;
R14076;TOKO TARI;TKO;JL KH SYAHDAN NO 1;-6.199891;106.784;Internal;
R14081;TOKO LESTARI;TKO;JL PALEM UTAMA NO 52;-6.206324;106.7922;Internal;
R14288;TOKO LALA;TKO;JL PETA SEMANAN NO 30;-6.194765;106.7868;Internal;
R14293;WARUNG SARAH;TKO;JL KEMANGGISAN 3 NO 20;-6.194744;106.7868;Internal;
R14294;MADURA ELA;TKO;JL ANGGREK GARUDA NO 10;-6.194823;106.7868;Internal;
R14295;TOKO JAYA;TKO;JL KEMANGGISAN 3 NO 30;-6.194677;106.7867;Internal;
R14305;TOKO ACEH;TKO;JL KEMANG 1 NO 10;-6.195483;106.7863;Internal;
R14309;TOKO RIZAL;TKO;IRIGASI SIPON;-6.195555;106.7864;Internal;
R14311;WARUNG FANI;TKO;JL ANGGREK GARUDA NO 53;-6.195434;106.7865;Internal;
R14727;TOKO FEBRI;TKO;JL KEMANGGISAN ILIR NO 70;-6.197709;106.7831;Internal;
R14731;TOKO MURAH;TKO;JL KEMANGGISAN ILIR NO 91;-6.197701;106.7832;Internal;
R14735;TOKO HASIBUAN;TKO;JL KEMANGGISAN ILIR NO 105;-6.197507;106.7843;Internal;
R14743;TOKO ALVIN JAYA;TKO;JL PALMERAH UTAMA NO 3;-6.204041;106.7938;Internal;
R15337;TOKO BAROKAH;TKO;JL KEMBANGAN UTARA RT01/08;-6.195248;106.7889;Internal;
R15338;TOKO AMANAH;TKO;JL MUDHAM NO 19;-6.195254;106.7889;Internal;
R15341;TOKO MUNIR;TKO;JL MUHDAM NO 81;-6.195255;106.7889;Internal;
R15342;TOKO ANWAR;TKO;JL MUHDAM NO 161;-6.195247;106.7889;Internal;
R15348;TOKO NAWANG;TKO;JL HAJI NAWI NO 58;-6.197068;106.7893;Internal;
R15349;TOKO BERKAH;TKO;JL MADRASAH KEL DURI KOSAMBI;-6.1971;106.7894;Internal;
R15350;TOKO ADIJAYA;TKO;JL HAJI NAWI NO 101;-6.197102;106.7894;Internal;
R15351;TOKO SUKMA;TKO;JL HAJI NAWI NO 151;-6.197143;106.7893;Internal;
R15352;TOKO BERKAT;TKO;JL KEMANDORAN PLUIS;-6.197233;106.7892;Internal;
R15477;BAROKAH JAYA;TKO;JL STUDIO NO 31;-6.195472;106.7859;Internal;
R15478;TOKO BUGIS;TKO;JL STUDIO NO 78;-6.194802;106.7867;Internal;
R15843;TOKO DAMAR;TKO;JL MANDOR HUSEN NO 25;-6.195517;106.7942;Internal;
R15846;TOKO KHAIRIL;TKO;JL PALMERAH BARAT NO 15;-6.195613;106.7942;Internal;
R15847;TOKO TOMO;TKO;JALAN ANGKE JAYA;-6.196996;106.7939;Internal;
R15848;IBU LINA;TKO;JL PALMERAH BARAT NO 35;-6.196996;106.7939;Internal;
R15849;TOKO LIA;TKO;JL ORI KOTA BAMBU SELATAN;-6.198076;106.7936;Internal;
R15850;TOKO MIA;TKO;JL PALMERAH BARAT NO 50;-6.198082;106.7936;Internal;
R15851;TOKO PELITA;TKO;JL PALMERAH BARAT NO 71;-6.201692;106.7931;Internal;
R15852;WARUNG NANI;TKO;JL PALMERAH BARAT NO 80;-6.201715;106.7932;Internal;
R15853;WARUNG SELY;TKO;JL PALMERAH BARAT NO 95;-6.203359;106.7928;Internal;
R15854;WARUNG NUNUNG;TKO;JL PALMERAH BARAT NO 105;-6.203354;106.7928;Internal;
R15855;TOKO DEWI;TKO;JL ALFALAH;-6.204251;106.7929;Internal;
R15856;TOKO DINA;TKO;JL KEMANDORAN 1 NO 12;-6.204225;106.7929;Internal;
R18653;TOKO SULTAN;TKO;JL KH SYAHDAN;-6.200939;106.7828;Internal;
R20674;TOKO INI LITA S;TKO;JLN KS TUBUN PALMERAH JAKBAR;-6.188147;106.8069;Internal;
R21392;TK LIA;TKO;KOTA BAMBU SELATAN;-6.186766;106.8055;Internal;
R21546;TK BAROKAH YANI;TKO;JL KOTA BAMBU RAYA;-6.183998;106.8018;Internal;
R21803;WR ANO;TKO;JL SEMANGKA;-6.180695;106.8061;Internal;
R21806;WR HIJAU;TKO;JL SEMANGKA;-6.180674;106.8072;Internal;
R21812;TK AFIFA;TKO;JL SEMANGKA;-6.181467;106.8073;Internal;
R21889;TK FAHMI PRATA;TKO;JL SEMANGKA 2;-6.179753;106.8082;Internal;
R21917;PT PUTRA ADAM;TKO;JL KOTA BAMBU SELATAN;-6.185847;106.8051;Internal;
R21946;TK MERRY;TKO;JL KOTA BAMBU UTARA;-6.18185;106.8092;Internal;
R21964;WR ARUL;TKO;GG MAWAR;-6.182989;106.8088;Internal;
R21966;TK CAHYA FAHRI;TKO;JL KOTA BAMBU UTARA;-6.180866;106.8091;Internal;
R22085;TK MUTAQIN;TKO;JL KOTA BAMBU UTARA;-6.185568;106.8051;Internal;
R22097;TK ICHWAR;TKO;JL ORI;-6.18708;106.8065;Internal;
R22104;TK SALSABILA;TKO;JL ORI;-6.186572;106.8054;Internal;
R22108;TK MDR KHAERUL;TKO;JL ORI 2;-6.186437;106.8048;Internal;
R22142;TK PUSPITA;TKO;JL ORI;-6.186609;106.804;Internal;
R22187;MDR ROSLIANA 7;TKO;JL ANGGREK;-6.19424;106.7933;Internal;
R22195;TK JANNAH;TKO;JL ANGGREK;-6.195103;106.7937;Internal;
R22205;TK BALQIS;TKO;JL ANGGREK;-6.196015;106.7957;Internal;
R22355;TK PAULUS;TKO;JL SLIPI;-6.191545;106.7989;Internal;
R22363;TK SANTI;TKO;JL SLIPI GANG 5;-6.19348;106.7995;Internal;
R22374;TK DOA IBU;TKO;JL AIPDA KS TUBUN;-6.190356;106.8018;Internal;
R22543;TK IRMA;TKO;JL SEMANGKA;-6.179447;106.8059;Internal;
R22545;TK RIDHO IBU;TKO;JL KOTA BAMBU UTARA 4;-6.184156;106.8056;Internal;
R22564;TK ULAN;TKO;JL KOTA BAMBU RAYA;-6.185929;106.8062;Internal;
R22568;TOKO SULTAN JAYA;TKO;JL KH SYAHDAN NO 3;-6.200924;106.7828;Internal;
R22570;TK RAPASYA;TKO;JL KOTA BAMBU SEL 7;-6.185691;106.8033;Internal;
R22571;TOKO ILHAM;TKO;JL H SENIN NO 45;-6.198424;106.7848;Internal;
R22574;TOKO IBEN;TKO;JL KEMANGGISAN ILIR 3;-6.197725;106.7831;Internal;
R22663;TK MDR 02;TKO;JL SEMANGKA;-6.180866;106.8091;Internal;
R22679;TK RHAYLA;TKO;JL CEMP BAWAH;-6.18098;106.8016;Internal;
R22685;TK SYAMSI;TKO;JL WULUH V;-6.181855;106.8016;Internal;
R22694;WR ORI;TKO;JL ORI;-6.185666;106.8038;Internal;
R22712;TK SURYA JAYA;TKO;GANG AL IKHLAS 2;-6.183504;106.8055;Internal;
R22792;TK HERMAN;TKO;JL KRESNA;-6.184307;106.8084;Internal;
R22915;WR GANG MAWAR;TKO;GG MAWAR;-6.182989;106.8088;Internal;
R23007;WR ARI;TKO;JL WII SLIPI;-6.195335;106.8016;Internal;
R23010;WR RAFLY;TKO;JL KS TUBUN 3;-6.195272;106.8024;Internal;
R23050;TK SOFIA;TKO;JL SAWO RAYA;-6.181501;106.8073;Internal;
R23053;TK INTAN;TKO;JL KOTA BAMBU UTARA IV;-6.180752;106.8054;Internal;
R23057;TK SEMBAKO ABAH 2;TKO;JL JATI BARU RAYA;-6.186583;106.8084;Internal;
R23059;TK MERRY;TKO;JL JATI BARU RAYA;-6.186549;106.808;Internal;
R23094;TK UDIN;TKO;JL ANGGREK NELI;-6.18469;106.7949;Internal;
R23106;TK ANDI;TKO;JL MELATI PUTIH;-6.192949;106.7919;Internal;
R23133;TK ACONG;TKO;GG Z;-6.181728;106.8094;Internal;
R23134;TK BU ETI;TKO;GG Z;-6.18185;106.8092;Internal;
R23142;TK ENA;TKO;JL INSPEKSI KANAL;-6.178738;106.8089;Internal;
R23152;TK BAROKAH WULUH;TKO;JL WULUH;-6.182022;106.8015;Internal;
R23153;TK SRI LESTARI KOTA BAMBU;TKO;JL H ISMAIL;-6.184129;106.8014;Internal;
R23166;TK SUMBER REJEKI MART;TKO;JL PETAMBURAN SLIPI;-6.190209;106.8019;Internal;
R23171;TK ANDI SLIPI;TKO;JL SLIPI 4;-6.191547;106.7991;Internal;
R23172;TK MUTIA;TKO;JL SLIPI;-6.194127;106.7991;Internal;
R23193;TOKO DIAN;TKO;JLN. KEMANGGISAN GROGOL RT 10/08;-6.205495;106.7912;Internal;
R23250;TOKO MAIL;TKO;JLN. KEMANGGISAN GROGOL RT 09/08;-6.20552;106.7906;Internal;
R23260;TOKO ANITA;TKO;JLN. KEMANGGISAN KINCIR RT08/09;-6.20642;106.7914;Internal;
R23292;TOKO YANTI;TKO;JLN. GG. AMAL 3 NO.41;-6.201042;106.7959;Internal;
R23296;TK ZIDA;TKO;JL KOTA BAMBU UTARA 1;-6.185526;106.8086;Internal;
R23333;WR NINA;TKO;JL NANAS;-6.177526;106.8068;Internal;
R23334;KANTIN SMP 111;KTS;JLN. BAKTI 7 NO. 2 RT 01/09;-6.192037;106.7836;Internal;
R23342;TK TITIN;TKO;JL KS TUBUN I;-6.187196;106.808;Internal;
R23430;KANTIN SEKOLAH LEMUEL;KTS;JLN. KS TUBUN NO. 2A RT 01 /05;-6.198036;106.8031;Internal;
R23498;TOKO AZIZ;TKO;JLN. PALM UTAMA NO .2 RT 6/8;-6.206418;106.7923;Internal;
R23526;KANTIN SD JUARA;KTS;JLN. KEMANGGISAN PULO 2 NO. 93 RT 15/09;-6.203739;106.7896;Internal;
R23532;TOKO BABAH YOYO;TKO;JLN. PALMERAH BARAT 1 NO.19 RT07/07;-6.20593;106.7931;Internal;
R23535;TOKO BAROKAH;TKO;JLN. INPEKSI SLIPI RT 06/07;-6.2059;106.7926;Internal;
R23540;BU HAJI;TKO;JLN. PALMERAH BARAT 2 NO.30 RT 03/08;-6.207252;106.7923;Internal;
R23542;TOKO UMI;TKO;JLN PALM UTAMA NO. 16 RT 04 /08;-6.206982;106.792;Internal;
R23583;WARUNG RAHMA;TKO;JLN. KEMANGGISAN UTAMA RAYA RT 10/06;-6.189962;106.793;Internal;
R23624;TOKO UFAIROH;TKO;JLN.RAWA BELONG 2B NO.7 RT 02/11;-6.200929;106.787;Internal;
R23722;WR SD 04 KOTA BAMBU;TKO;GG MAWAR;-6.184307;106.8084;Internal;
R23746;KANTIN SDN 05 MBA PUTRI;KTS;JLN. PALMERAH UTARA 4 NO. 10 RT 01/06;-6.205747;106.79;Internal;
R23751;TOKO PA IPUL;TKO;JLN. PALMERAH UTARA 1 NO. 3 RT 03/16;-6.202029;106.7959;Internal;
R23762;TOKO SANTIKA;TKO;JLN. KEMANGGISAN PULO NO.13 RT 05/03;-6.203225;106.7923;Internal;
R23793;TOKO MAMA RANI;TKO;JLN. PALMERAH UTAMA NO. 36 RT 9/8;-6.205434;106.7909;Internal;
R23813;TK SURWATI;TKO;JL KOTA BAMBU RAYA;-6.184668;106.8028;Internal;
R23816;WARUNG BU BAROKAH;TKO;JLN. INPEKSI SLIPI NO. 44 NO.09 RT 09/03;-6.196415;106.7942;Internal;
R23859;TOKO MAMA SINTA;TKO;JLN. KEMANGGISAN PULO 1, NO 46 RT 13/08;-6.204861;106.7914;Internal;
R23864;TOKO ABI;TKO;JLN. PALM 1 NO. 17 RT 02/09;-6.20483;106.791;Internal;
R23866;TOKO AZIZAH 1;TKO;JLN. PALM UTAMA NO. 17 RT 02/09;-6.205061;106.7906;Internal;
R23880;TOKO ANDI;TKO;JLN. PALM UTAMA NO. 70 RT 10/08;-6.205521;106.7917;Internal;
R23930;TK ERNA BAROKAH;TKO;JL KOTA BAMBU UTARA;-6.181043;106.8054;Internal;
R23933;TK HIDAYAH;TKO;JL KOTA BAMBU UTARA;-6.182373;106.8055;Internal;
R23942;TK LINA;TKO;JL WII;-6.196429;106.8008;Internal;
R23943;TOKO BU WULAN;TKO;JLN. IBPEKSI SLIPI NO 32 RT 15/02;-6.197011;106.7946;Internal;
R23948;TK RANI;TKO;JL KS TUBUN;-6.197575;106.7999;Internal;
R23953;TK ATIK;TKO;JL KS TUBUN IV;-6.197391;106.8026;Internal;
R23959;TK ANDILA;TKO;JL KEMANGGISAN ILIR 2;-6.193023;106.7865;Internal;
R23962;TK BILQIS;TKO;JL KEMANGGISAN ILIR IV;-6.19503;106.7882;Internal;
R23963;TK LUTFI;TKO;JL H. SAILI;-6.191875;106.7923;Internal;
R23978;KANTIN SMP 16;KTS;JLN. PALMERAH SELATAN RT 02/08;-6.207588;106.7916;Internal;
R23989;TK DITA;TKO;JL RAWA PANDAN;-6.175738;106.8038;Internal;
R23994;TK SYIFA;TKO;JL KOTA BAMBU UTARA V;-6.185039;106.8038;Internal;
R23998;TOKO WILDAN;TKO;JLN. KEMANGGISAN PULO NO.1 RT 01/03;-6.202593;106.792;Internal;
R24003;TK KIRANA MDR;TKO;JL KEMANGGISAN IVB;-6.192584;106.7899;Internal;
R24007;WR SEMBAKO ADI;TKO;JL H. SAILI;-6.192057;106.7907;Internal;
R24008;TK SUMBER PANJANG;TKO;JL. H SAILI;-6.191887;106.7913;Internal;
R24012;WR INDAH KEMANGGISAN;TKO;JL H MARZUKI;-6.191127;106.7917;Internal;
R24016;WR SEMBAKO ARI;TKO;JL KEMANGGISAN;-6.196012;106.7876;Internal;
R24052;TK IHI;TKO;JL SULAIMAN;-6.199709;106.7955;Internal;
R24053;TK RAISA;TKO;JL SULAIMAN;-6.199691;106.7955;Internal;
R24055;TK JEPRI;TKO;JL ANGGREK CENDRAWASIH;-6.198277;106.7964;Internal;
R24067;TK MILA;TKO;JL SEMANGKA 3;-6.180804;106.8072;Internal;
R24090;WR DIAH;TKO;JL WII;-6.19544;106.8006;Internal;
R24098;TK BAGUS;TKO;JL KYAI H TASIR;-6.199217;106.7877;Internal;
R24105;TK MULABOH;TKO;JL KEMANGGISAN PULO;-6.201904;106.7899;Internal;
R24149;TK ROSI PALMERAH;TKO;JL PALMERAH BARAT;-6.205747;106.79;Internal;
R24158;TK ASKA;TKO;JL KEMANGGISAN PULO;-6.201775;106.7883;Internal;
R24227;TK BENNY 1;TKO;JL PALMERAH BARAT;-6.207915;106.7899;Internal;
R24273;TK ANTO;TKO;JL KEMANGGISAN;-6.193017;106.7865;Internal;
R24325;TK PANDU;TKO;JL INSPEKSI SLIPI;-6.200169;106.794;Internal;
R24327;TOKO SANSEN;TKO;JLN. PALM 7, NO. 43 RT 09/08;-6.20536;106.7907;Internal;
R24334;TOKO DIKA;TKO;JLN. PALM 7 NO. 50 RT 09/08;-6.205312;106.791;Internal;
R24591;WR WITA;TKO;JL APUS;-6.187234;106.8021;Internal;
R24593;TOKO SUMBER JAYA;TKO;JL H.SENIN NO 59;-6.200227;106.7839;Internal;
R24600;KANTIN SMK 13;KTS;RAWA BELONG NO. 64 RT05/10;-6.202738;106.7858;Internal;
R24610;TOKO BAROKAH ABU;TKO;GG SILATURAHMI BLOK C NO 88;-6.194887;106.7896;Internal;
R24613;TK YUSUF;TKO;JL KOTA BAMBU RAYA;-6.18522;106.8034;Internal;
R24641;TOKO TITIN;TKO;JLN. PASAR BINTANG MAS PALMERAH;-6.206914;106.7905;Internal;
R24651;TOKO ARIEN;TKO;JLN. PALMERAH BARAT 2 NO. 8 RT 03/08;-6.206441;106.7903;Internal;
R24747;TOKO BERKAH SENTOSA;TKO;JLN. PALMERAH UTARA 2 NO 4;-6.202174;106.7951;Internal;
R24765;TOKO BU TUTI;TKO;JLN. PALMERAH UTARA 3 NO. 3 RT 3 /16;-6.201995;106.7958;Internal;
R24779;TOKO BU ENI;TKO;JLN. PALMERAH UTARA 4 NO. 4 RT 15 /06;-6.205013;106.7932;Internal;
R24788;WARUNG BU RINA;TKO;JLN. PALMERAH UTARA 4 NO. 33 RT 08/06;-6.205784;106.7932;Internal;
R24790;TOKO BU SUSI;TKO;JLN. PALMERAH BARAT 1 NO. 14 RT7/7;-6.206147;106.7933;Internal;
R24827;TK AFID;TKO;JL BUNI;-6.17923;106.8053;Internal;
R24864;TK IBU DEWI;TKO;JL SEMANGKA 2;-6.178612;106.8065;Internal;
R24894;WARUNG FAUZIAH;TKO;JL KOTA BAMBU RAYA;-6.184264;106.8023;Internal;
R24896;WR ZAHRA;TKO;JL KOTA BAMBU RAYA;-6.18415;106.8019;Internal;
R24898;WR SALIYAH;TKO;JL KOTA BAMBU SEL V;-6.184137;106.8019;Internal;
R24929;WR MEGA;TKO;JL PALMERAH BARAT;-6.206647;106.7861;Internal;
R24931;TOKO AMAT;TKO;JLN. PALM UTAMA NO. 8 RT 12/08;-6.204934;106.7908;Internal;
R24934;WR HERA;TKO;JL PALMERAH BARAT;-6.205958;106.7862;Internal;
R24944;WR ALFA MADURA 2;TKO;KOMP SANDANG;-6.202022;106.7866;Internal;
R24958;WR BILAL;TKO;JL KOMP SANDANG;-6.202136;106.7866;Internal;
R25027;TOKO PA BUDI;TKO;JLN. BAKTI 7 NO. 6 RT 2/9;-6.192297;106.7832;Internal;
R25070;WR RAKA;TKO;JL KEMANGGISAN PULO 1;-6.204195;106.7923;Internal;
R25087;WR SOLEH;TKO;JL INSPEKSI KALI SLIPI;-6.205533;106.7926;Internal;
R25090;TOKO UJANG;TKO;JLN. PALMERAH UTAMA 1 RT 10/08;-6.205275;106.7917;Internal;
R25096;TK KANTIN OPIK;KTS;JL KS TUBUN;-6.188768;106.8082;Internal;
R25100;WR DIVA;TKO;JL PALMERAH BARAT;-6.20764;106.7917;Internal;
R25102;TOKO GLADIS;TKO;JLN. KEMANGGISAN PULO 1 NO. 17 RT 13/08;-6.20528;106.7916;Internal;
R25108;WR AGUS;TKO;JL PALMERAH BARAT;-6.208182;106.7895;Internal;
R25114;WR RYAN BAROKAH;TKO;JL PALMERAH BARAT;-6.207892;106.7898;Internal;
R25199;TOKO PA JOKO;TKO;JLN. PALMERAH UTARA 1 NO. 5 RT 8/5;-6.201082;106.7959;Internal;
R25237;TOKO BUNDA RIA;TKO;JLN. PALMERAH UTARA 1 NO. 29 RT 8/5;-6.200841;106.7955;Internal;
R25253;TOKO BU NENENG;TKO;JLN. SULAIMAN NO. 15 RT 10/4;-6.200902;106.7949;Internal;
R25268;TOKO FARIZ;TKO;JLN. ANGGREK CENDRAWASI 8 NO.9 RT 2/8;-6.198708;106.7954;Internal;
R25280;TOKO MADURA 1;TKO;JLN. ANGGREK CENDRAWASI RAYA RT 4/4;-6.198143;106.7963;Internal;
R25372;TK SARAH;TKO;JL SAWO RAYA;-6.179442;106.8059;Internal;
R25377;TK SRI;TKO;JL Z JATIPULO;-6.18152;106.8084;Internal;
R25409;TOKO MAKMUR;TKO;JLN. SULAIMAN NO.40 RT 7/5;-6.200555;106.7956;Internal;
R25413;TOKO SARI;TKO;JLN. SULAIMAN NO. 28 RT 7/4;-6.200543;106.7956;Internal;
R25460;TOKO MANIA;TKO;JLN. KEMANGGISAN PULO NO. 93 RT 15/09;-6.203751;106.7896;Internal;
R25556;KANTIN SDN 23;KTS;JLN. RAWA BELONG NO. 6 RT 7/10;-6.202481;106.7863;Internal;
R25604;TOKO AL BAROKAH;TKO;JLN. KEMANGGISAN PULO NO. 48 RT 11/3;-6.201583;106.792;Internal;
R25731;TK MDR BERKAH;TKO;JL KOTA BAMBU;-6.185777;106.8026;Internal;
R25742;TK KPP MDR ADI;TKO;JL KOTA BAMBU;-6.185598;106.8054;Internal;
R25888;TK MDR ROMI KOTBAM;TKO;JL KOTA BAMBU;-6.181647;106.8081;Internal;
R25973;TK RUSLI;TKO;JL WII SLIPI;-6.195392;106.8011;Internal;
R26123;TK MDR FAUZI;TKO;JL KOTA BAMBU SELATAN;-6.185678;106.8026;Internal;
R26147;TK MDR RANIA;TKO;JL SEMANGKA;-6.179511;106.8059;Internal;
R26149;TK KPP MUDI;TKO;GG RUMPI;-6.179781;106.8065;Internal;
R26166;WR TUTI;TKO;JL KS TUBUN;-6.190654;106.8061;Internal;
R26244;TOKO RITA;TKO;JLN. PALM UTAMA NO 5 RT6/8;-6.206269;106.7922;Internal;
R26293;TK SINAR;TKO;JL RASMALA DALAM;-6.175665;106.8039;Internal;
R26294;TK MDR NASIR;TKO;JL RASAMA DALAM;-6.176877;106.8062;Internal;
R26369;TK RIZA;TKO;JL KS TUBUN;-6.188159;106.808;Internal;
R26473;TK DUA BERSAUDARA;TKO;KOTA BAMBU;-6.19029;106.7825;Internal;
R26506;TK AISYAH;TKO;JL RUSAK;-6.192775;106.7823;Internal;
R26540;TOKO IVA;TKO;JLN. KEMANGGISAN 4 NO 2 RT 2/6;-6.191675;106.792;Internal;
R26630;TK NINDA;TKO;JL KOTA BAMBU SELATAN;-6.184623;106.8028;Internal;
R26636;KANTIN IBU RAHAJA SDN 05 JOGLO;KTS;JLN.KOM DKI;-6.221892;106.7316;Internal;
R26663;WR AL BAROKAH;TKO;JL KEMANGGISAN PULO;-6.20186;106.7917;Internal;
R26667;WR SANDI;TKO;JL KEMANGGISAN PULO;-6.201898;106.7916;Internal;
R26669;TOKO AROMA;TKO;JLN. BAKHTI 7 NO. 9 RT02/9;-6.191857;106.7837;Internal;
R26676;DRP RAYA;TKO;JL ANGGREK NELI MURNI;-6.187689;106.7953;Internal;
R26688;TOKO DILLA;TKO;JLN. KEMANGGISAN PULO 1 NO.8 RT01/08;-6.203844;106.7908;Internal;
R26739;TOKO BU AYU;TKO;JLN. INSPEKSI SLIPI NO. 37 RT 12/03;-6.196671;106.7941;Internal;
R26746;TOKO DIAN SLIPI;TKO;JLN. INSPEKSI SLIPI NO. 6 RT 13/3;-6.196454;106.7944;Internal;
R26766;TK ROHMAN;TKO;JL PALMERAH 1;-6.206267;106.7927;Internal;
R26774;TK BAROKAH REZEKI;TKO;JL INSPEKSI SLIPI;-6.200776;106.7936;Internal;
R26812;WR MAJU JAYA PAL;TKO;JL KEMANGGISAN ILIR 3;-6.195229;106.7877;Internal;
R26814;WR HIKMAH;TKO;JL BELIBIS TERUSAN;-6.201797;106.7914;Internal;
R26825;TK RAFFA 2;TKO;JL KS TUBUN;-6.188766;106.8071;Internal;
R26916;WARUNG MPOK ELAS;TKO;JLN.KS TUBUN 4 NO. 4 RT 7/4;-6.197218;106.8;Internal;
R26986;TK MUTIARA;TKO;JL SEMANGKA 2;-6.178943;106.8068;Internal;
R27065;TOKO PA HAJI PADANG;TKO;GG. AMAL NO. 7A RT 8/4;-6.200297;106.7964;Internal;
R28395;WARUNG SURAMADU;TKO;JL.H.RAUSIN;-6.196035;106.7876;Internal;
R29437;TOKO PINGKAN;TKO;JLN SEMANAN RAYA;-6.178612;106.8065;Internal;
R29717;WARUNG BU YUNI;TKO;JL.SERENGSENG;-6.196004;106.7876;Internal;
R31699;TOKO LIDYA;TKO;JLN.SEMANAN;-6.177961;106.8083;Internal;
R31749;WARUNG BAROKAH 1 KEMBANGAN;TKO;JLN KEMBANGAN;-6.190279;106.7556;Internal;
R31761;WARUNG DUKOS;TKO;JLN DURI KOSAMBI;-6.18152;106.8084;Internal;
R31827;WARUNG DEKEN;TKO;JLN DURI KOSAMBI;-6.18817;106.808;Internal;
R31988;WARUNG DIAH;TKO;JLN CILEDUG;-6.212559;106.7035;Internal;
R32954;WARUNG ABAH;TKO;PALMERAH;-6.193501;106.7856;Internal;
R32963;WARUNG AZIS;TKO;PALMERAH;-6.206343;106.7923;Internal;
R32965;WARUNG SEMBA;TKO;PALMERAH;-6.21069;106.7743;Internal;
R33026;WARUNG ELZAN;TKO;PALMERAH;-6.197686;106.7831;Internal;
R33046;WARUNG ENDANG;TKO;PALMERAH;-6.222183;106.6962;Internal;
R33048;WARUNG KOKIL;TKO;PALMERAH;-6.214951;106.6986;Internal;
R33054;WARUNG FEY;TKO;PALMERAH;-6.200855;106.7834;Internal;
R33058;WARUNG DERA;TKO;PALMERAH;-6.202227;106.7848;Internal;
R33059;WARUNG KENAN;TKO;PALMERAH;-6.201731;106.7872;Internal;
R33067;WARUNG SAFA;TKO;PALMERAH;-6.206888;106.7856;Internal;
R33080;WARUNG UYA;TKO;PALMERAH;-6.201498;106.7932;Internal;
R33085;WARUNG ARI 2;TKO;PALMERAH;-6.195934;106.7876;Internal;
R33088;WARUNG ANGGLE;TKO;PALMERAH;-6.190334;106.7826;Internal;
R33093;WARUNG KIKI;TKO;SEMANAN;-6.178943;106.8068;Internal;
R33117;WARUNG HANI;TKO;PALMERAH;-6.216362;106.7099;Internal;
R33120;WARUNG ANGGI;TKO;PALMERAH;-6.22288;106.713;Internal;
R33148;WARUNG BU DEDE;TKO;PALMERAH;-6.200907;106.795;Internal;
R33149;WARUNG INDRA;TKO;PALMERAH;-6.189788;106.7555;Internal;
R33228;WARUNG KAKA;TKO;PALMERAH;-6.197634;106.7831;Internal;
R33229;WARUNG YUYA;TKO;PALMERAH;-6.197704;106.7831;Internal;
R33244;WARUNG BUDE ESME;TKO;PALMERAH;-6.204611;106.7871;Internal;
R33250;WARUNG ICAL;TKO;PALMERAH;-6.201869;106.7918;Internal;
R33252;WAEUNG EKA 2;TKO;PALMERAH;-6.19824;106.7964;Internal;
R33272;WARUNG ALDI CL;TKO;PALMERAH;-6.22275;106.7132;Internal;
R33274;WARUNG RISNA CL;TKO;PALMERAH;-6.225455;106.7038;Internal;
R33275;WARUNG KRISNA CL;TKO;PALMERAH;-6.225532;106.7039;Internal;
R33276;WARUNG IDRIS CL;TKO;PALMERAH;-6.225479;106.7037;Internal;
R33279;WARUNG SAHAWI CL;TKO;PALMERAH;-6.222148;106.7036;Internal;
R33300;WARUNG SALEH PALMERAH;TKO;PALMERAH;-6.20544;106.7926;Internal;
R33303;WARUNG ABRIL NK;TKO;PALMERAH;-6.190291;106.7824;Internal;
R33304;WARUNG BABEH 2;TKO;PALMERAH;-6.189761;106.7557;Internal;
R33357;WARUNG IKWAN SMN;TKO;SEMANAN;-6.17923;106.8053;Internal;
R33358;WARUNG MAMA ILIS;TKO;SEMANAN;-6.178738;106.8089;Internal;
R33522;WARUNG MARSYAH;TKO;KEMBANGAN;-6.192775;106.7823;Internal;
R33603;WARUNG IYAN KOBAM;TKO;KOTA BAMBU;-6.183966;106.8017;Internal;
R33728;WARUNG ABRAHAM;TKO;KEMBANGAN;-6.189891;106.7556;Internal;
R33818;WARUNG FEBRIANTO;TKO;PALMERAH;-6.190204;106.7556;Internal;
R34029;WARUNG FRIMAWAN;TKO;PALMERAH;-6.197715;106.7832;Internal;
R34082;WARUNG SINTA;TKO;PALMERAH;-6.209281;106.7614;Internal;
R34140;WARUNG ANGGI PELMERAH;TKO;PALMERAH;-6.205424;106.7926;Internal;
R34174;WARUNG IKLAS 1;TKO;PALMERAH;-6.18565;106.805;Internal;
R34222;WARUNG DUA PUTRI;TKO;PALMERAH;-6.185526;106.8086;Internal;
R34241;WARUNG MURNI DK;TKO;PALMERAH;-6.189272;106.7082;Internal;
R34344;WARUNG SEMBAKO PLM;TKO;PALMERAH;-6.1961;106.7876;Internal;
R34358;WARUNG MALIKA SEMBAKO;TKO;PALMERAH;-6.190872;106.7159;Internal;
R34393;WARUNG IBAS;TKO;PALMERAH;-6.177526;106.8068;Internal;
R34423;WARUNG JAKA;TKO;PALMERAH;-6.204434;106.787;Internal;
R34452;WARUNG YUNI PSA;TKO;PALMERAH;-6.184024;106.8017;Internal;
