kode_existing;nama_toko;brand_kompetitor;alamat;lat;lng;sumber_data;catatan
R26132;TOKO IRUL;TKO;JL JAMBU AIR;-6.1407336;106.7156652;Internal;
R26224;TOKO PUTRA;TKO;JL BENDA 3;-6.1299486;106.6955345;Internal;
R26288;TOKO ANJANI;TKO;JL KP KOANG;-6.1260184;106.6995539;Internal;
R26298;JAYA MART;TKO;RUKO AEROBLISS CITRA GARDEN CITY 8;-6.130942;106.6908051;Internal;
R26300;TOKO TAHOL;TKO;JL VETERAN 3;-6.1406338;106.7039833;Internal;
R26384;WARUNG MAMA BUNGA;TKO;JL PULO INDAH PERMAI 4;-6.1834981;106.7139681;Internal;
R26385;TOKO NASIR;TKO;JL GRIYA UTAMA 2;-6.1843449;106.7130135;Internal;
R26640;TOKO FATHAN;TKO;JL PELOPOR;-6.1233093;106.7138048;Internal;
R26654;TOKO GIBRAN JAYA;TKO;JL MENCENG;-6.12157;106.7164189;Internal;
R26712;TOKO SUMBER RIZKI BERKAH;TKO;JL TAMAN SURYA BOULEVAR;-6.1375658;106.7166235;Internal;
R26717;TOKO IWAN MANYAR;TKO;JL RAYA MANYAR;-6.1185151;106.7111854;Internal;
R26721;TOKO PUTRA JAYA;TKO;JL MANYAR 2;-6.1201559;106.712194;Internal;
R26886;TOKO ARPAN;TKO;JL RAYA PREPEDAN (DEPAN SINAR TEHNIK MANDIRI);-6.1185074;106.7104787;Internal;
R26980;TOKO LIAN;TKO;JL PALEM RAYA;-6.1801866;106.6886457;Internal;
R27587;WARUNG AMIL MADURA;TKO;MERUYA SELATAN;-6.2084261;106.737408;Internal;
R31215;TOKO BINTANG AGUNG;TKO;JL PETIR UTAMA;-6.1824322;106.7125796;Internal;
R31283;WARUNG FAISOL;TKO;JL BOJONG RAYA;-6.1709305;106.7286314;Internal;
R31551;TOKO AL BAROKAH G;TKO;JL RAYA DURI KOSAMBI;-6.1689025;106.7234661;Internal;
R31578;TOKO DIKA;TKO;JL MADRASAH;-6.1669547;106.7335913;Internal;
R31582;TOKO AULIA G;TKO;JL PANDU RAYA;-6.167867;106.7390927;Internal;
R31630;TOKO DENIA ZIZAH;TKO;JL INFRES NO 2;-6.21422;106.7703217;Internal;
R31710;TOKO ANDIN 1;TKO;JL SUKA MENANTI RAWA BUAYA;-6.1598377;106.7461967;Internal;
R31728;TOKO ANIS;TKO;JL MUSIRIN;-6.1788175;106.7613269;Internal;
R31822;TOKO ABIT AYU;TKO;JL KP BARU;-6.1712013;106.7512811;Internal;
R31887;TOKO MANUNGGAL 1;TKO;JL BOJONG RAYA;-6.1708898;106.7288705;Internal;
R31897;TOKO NAZIR;TKO;JL HJ MALI;-6.1669681;106.7200472;Internal;
R31930;WARUNG BATAK;TKO;JL GG AL BAROKAH;-6.1693851;106.7221252;Internal;
R31978;TOKO FITRI;TKO;JL MADRASAH;-6.1690434;106.7327174;Internal;
R32101;WARUNG BUDE RATNA;TKO;JL KEDOYA PESING;-6.178051;106.7592797;Internal;
R32149;WARUNG FAKHREL;TKO;JL BOJONG RAYA;-6.1643876;106.7354296;Internal;
R32271;TOKO UCOK PASAMAN;TKO;JL DARMA WANITA;-6.1592327;106.7321013;Internal;
R32360;WARUNG NARA;TKO;JL RAYA DURI KOSAMBI;-6.1696008;106.7203257;Internal;
